enterprise_id,as_of,mira_score,band,stress_prob_3m,s1_cashflow,s2_repayment,s3_digital,s4_market,s5_climate,savings_balance,drivers_json
11,2026-06,80.4,green,0.0501,83.3,100.0,28.3,38.7,66.1,125246,"[{""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""down"", ""magnitude"": 2.0578}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.3926}, {""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 1.2709}]"
12,2026-06,71.9,green,0.0823,77.0,100.0,23.1,38.7,61.3,93334,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.4189}, {""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""up"", ""magnitude"": 0.7409}, {""feature"": ""input_mom_1m"", ""label_en"": ""Input price change"", ""label_hi"": ""लागत मूल्य बदलाव"", ""direction"": ""down"", ""magnitude"": 0.5942}]"
13,2026-06,81.2,green,0.0764,83.1,100.0,30.9,38.7,66.1,65673,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.2667}, {""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""down"", ""magnitude"": 0.6864}, {""feature"": ""input_mom_1m"", ""label_en"": ""Input price change"", ""label_hi"": ""लागत मूल्य बदलाव"", ""direction"": ""down"", ""magnitude"": 0.6701}]"
14,2026-06,64.3,amber,0.0914,43.3,100.0,76.3,57.1,36.9,60710,"[{""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""up"", ""magnitude"": 3.5531}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 3.3781}, {""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 1.7424}]"
15,2026-06,52.9,amber,0.1496,33.9,100.0,43.3,57.1,58.3,24954,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 1.7369}, {""feature"": ""net_cf_lag3"", ""label_en"": ""Recent cash flow"", ""label_hi"": ""हालिया नक़दी प्रवाह"", ""direction"": ""up"", ""magnitude"": 1.0734}, {""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""down"", ""magnitude"": 1.0655}]"
16,2026-06,56.3,amber,0.0745,48.2,94.2,54.8,57.1,36.9,17296,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 2.2769}, {""feature"": ""net_cf_lag3"", ""label_en"": ""Recent cash flow"", ""label_hi"": ""हालिया नक़दी प्रवाह"", ""direction"": ""up"", ""magnitude"": 1.1487}, {""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""up"", ""magnitude"": 0.5585}]"
17,2026-06,70.6,green,0.121,33.9,94.2,100.0,57.1,58.3,21314,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 2.2746}, {""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""up"", ""magnitude"": 0.6742}, {""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""up"", ""magnitude"": 0.6544}]"
18,2026-06,38.3,red,0.1075,34.3,97.1,29.6,57.1,36.9,30156,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 2.6954}, {""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 1.937}, {""feature"": ""net_cf_lag3"", ""label_en"": ""Recent cash flow"", ""label_hi"": ""हालिया नक़दी प्रवाह"", ""direction"": ""up"", ""magnitude"": 1.6086}]"
19,2026-06,53.3,amber,0.1196,45.3,85.4,45.9,57.1,58.3,60042,"[{""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""up"", ""magnitude"": 3.76}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 3.12}, {""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 1.8388}]"
20,2026-06,54.0,amber,0.0829,57.1,91.2,35.9,57.1,36.9,99290,"[{""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""up"", ""magnitude"": 3.6937}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 2.2049}, {""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 1.5784}]"
21,2026-06,87.3,green,0.0672,60.2,100.0,82.3,57.1,58.3,104807,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 2.7805}, {""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""down"", ""magnitude"": 1.6081}, {""feature"": ""net_cf_lag3"", ""label_en"": ""Recent cash flow"", ""label_hi"": ""हालिया नक़दी प्रवाह"", ""direction"": ""up"", ""magnitude"": 1.4745}]"
22,2026-06,44.8,red,0.0809,51.3,100.0,8.2,57.1,36.9,41934,"[{""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""down"", ""magnitude"": 2.1624}, {""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 2.0813}, {""feature"": ""net_cf_lag3"", ""label_en"": ""Recent cash flow"", ""label_hi"": ""हालिया नक़दी प्रवाह"", ""direction"": ""up"", ""magnitude"": 1.6792}]"
23,2026-06,76.2,green,0.2281,63.7,100.0,45.8,57.1,58.3,118513,"[{""feature"": ""income_rmean3"", ""label_en"": ""Recent income level"", ""label_hi"": ""हालिया आमदनी"", ""direction"": ""up"", ""magnitude"": 3.2503}, {""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 2.4073}, {""feature"": ""net_cf_lag3"", ""label_en"": ""Recent cash flow"", ""label_hi"": ""हालिया नक़दी प्रवाह"", ""direction"": ""up"", ""magnitude"": 2.1013}]"
24,2026-06,48.0,amber,0.075,42.8,89.2,51.7,57.1,36.9,113136,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 1.6916}, {""feature"": ""net_cf_lag2"", ""label_en"": ""Recent cash flow"", ""label_hi"": ""हालिया नक़दी प्रवाह"", ""direction"": ""down"", ""magnitude"": 1.4734}, {""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 1.443}]"
25,2026-06,90.5,green,0.0731,65.0,89.2,99.3,57.1,58.3,133255,"[{""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 2.2951}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 1.4613}, {""feature"": ""txn_slope_3m"", ""label_en"": ""Digital activity trend"", ""label_hi"": ""डिजिटल गतिविधि रुझान"", ""direction"": ""up"", ""magnitude"": 1.2196}]"
26,2026-06,56.5,amber,0.0672,57.3,79.6,61.3,57.1,36.9,46953,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 2.236}, {""feature"": ""net_cf_lag3"", ""label_en"": ""Recent cash flow"", ""label_hi"": ""हालिया नक़दी प्रवाह"", ""direction"": ""up"", ""magnitude"": 1.7198}, {""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""down"", ""magnitude"": 1.286}]"
27,2026-06,93.6,green,0.0794,91.9,100.0,24.3,50.0,76.8,106579,"[{""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""down"", ""magnitude"": 1.8298}, {""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 1.7469}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.0282}]"
28,2026-06,89.2,green,0.055,88.8,100.0,16.0,50.0,79.7,138904,"[{""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 1.285}, {""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""down"", ""magnitude"": 1.2671}, {""feature"": ""net_cf_rmean3"", ""label_en"": ""3-month cash average"", ""label_hi"": ""3-माह औसत नक़दी"", ""direction"": ""down"", ""magnitude"": 0.6672}]"
29,2026-06,92.8,green,0.0906,92.5,100.0,20.9,50.0,76.8,116172,"[{""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 2.0884}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.0419}, {""feature"": ""net_cf_lag6"", ""label_en"": ""Half-year cash trend"", ""label_hi"": ""छमाही नक़दी रुझान"", ""direction"": ""up"", ""magnitude"": 0.9935}]"
30,2026-06,93.4,green,0.09,91.2,100.0,22.2,50.0,79.7,60685,"[{""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""up"", ""magnitude"": 3.9187}, {""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""down"", ""magnitude"": 2.9457}, {""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 1.7769}]"
31,2026-06,81.7,green,0.0808,79.4,100.0,17.5,50.0,76.8,77661,"[{""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 1.6214}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 0.9247}, {""feature"": ""net_cf_rmean3"", ""label_en"": ""3-month cash average"", ""label_hi"": ""3-माह औसत नक़दी"", ""direction"": ""down"", ""magnitude"": 0.5355}]"
32,2026-06,91.2,green,0.0341,91.4,100.0,16.0,50.0,79.7,86070,"[{""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""down"", ""magnitude"": 1.7671}, {""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 1.4315}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 0.6991}]"
33,2026-06,90.3,green,0.056,92.6,100.0,14.2,50.0,76.8,90852,"[{""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""down"", ""magnitude"": 1.4912}, {""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 1.3684}, {""feature"": ""net_cf_rmean3"", ""label_en"": ""3-month cash average"", ""label_hi"": ""3-माह औसत नक़दी"", ""direction"": ""down"", ""magnitude"": 0.6993}]"
34,2026-06,93.0,green,0.0871,91.8,100.0,20.1,50.0,79.7,131031,"[{""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""up"", ""magnitude"": 3.4641}, {""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 2.1318}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.5913}]"
35,2026-06,92.6,green,0.09,91.4,100.0,22.6,50.0,76.8,124528,"[{""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 1.8252}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.0259}, {""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""down"", ""magnitude"": 0.9772}]"
36,2026-06,90.6,green,0.0341,91.5,100.0,14.2,50.0,79.7,145333,"[{""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""down"", ""magnitude"": 1.8456}, {""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 1.4454}, {""feature"": ""net_cf_lag6"", ""label_en"": ""Half-year cash trend"", ""label_hi"": ""छमाही नक़दी रुझान"", ""direction"": ""up"", ""magnitude"": 0.8548}]"
37,2026-06,76.5,green,0.09,73.8,89.2,33.0,50.0,76.8,57577,"[{""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""up"", ""magnitude"": 4.1447}, {""feature"": ""income_rmean6"", ""label_en"": ""Income level"", ""label_hi"": ""आमदनी स्तर"", ""direction"": ""down"", ""magnitude"": 2.9337}, {""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 1.6399}]"
38,2026-06,89.1,green,0.0623,91.6,100.0,10.0,50.0,79.7,111665,"[{""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 2.014}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.047}, {""feature"": ""net_cf_lag6"", ""label_en"": ""Half-year cash trend"", ""label_hi"": ""छमाही नक़दी रुझान"", ""direction"": ""up"", ""magnitude"": 0.7639}]"
39,2026-06,67.3,amber,0.09,64.2,91.2,24.3,50.0,76.8,57138,"[{""feature"": ""input_mom_3m"", ""label_en"": ""Input cost trend"", ""label_hi"": ""लागत मूल्य रुझान"", ""direction"": ""down"", ""magnitude"": 2.0118}, {""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.4329}, {""feature"": ""net_cf_lag6"", ""label_en"": ""Half-year cash trend"", ""label_hi"": ""छमाही नक़दी रुझान"", ""direction"": ""up"", ""magnitude"": 1.228}]"
40,2026-06,98.0,green,0.0034,91.6,100.0,100.0,50.0,83.3,104564,"[{""feature"": ""txn_slope_3m"", ""label_en"": ""Digital activity trend"", ""label_hi"": ""डिजिटल गतिविधि रुझान"", ""direction"": ""down"", ""magnitude"": 1.5989}, {""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""down"", ""magnitude"": 1.3127}, {""feature"": ""net_cf_rmean6"", ""label_en"": ""6-month cash average"", ""label_hi"": ""6-माह औसत नक़दी"", ""direction"": ""up"", ""magnitude"": 0.7383}]"
41,2026-06,93.3,green,0.0087,69.2,82.5,100.0,50.0,74.8,36938,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""down"", ""magnitude"": 2.1206}, {""feature"": ""txn_slope_3m"", ""label_en"": ""Digital activity trend"", ""label_hi"": ""डिजिटल गतिविधि रुझान"", ""direction"": ""down"", ""magnitude"": 1.0487}, {""feature"": ""net_cf_lag6"", ""label_en"": ""Half-year cash trend"", ""label_hi"": ""छमाही नक़दी रुझान"", ""direction"": ""up"", ""magnitude"": 0.8127}]"
42,2026-06,82.9,green,0.0686,86.5,100.0,0.0,50.0,83.3,79036,"[{""feature"": ""txn_slope_3m"", ""label_en"": ""Digital activity trend"", ""label_hi"": ""डिजिटल गतिविधि रुझान"", ""direction"": ""up"", ""magnitude"": 2.2754}, {""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""down"", ""magnitude"": 2.0055}, {""feature"": ""txn_count"", ""label_en"": ""Digital transaction volume"", ""label_hi"": ""डिजिटल लेन-देन"", ""direction"": ""down"", ""magnitude"": 1.303}]"
43,2026-06,84.5,green,0.0522,84.1,100.0,17.7,50.0,74.8,53130,"[{""feature"": ""income_rmean6"", ""label_en"": ""Income level"", ""label_hi"": ""आमदनी स्तर"", ""direction"": ""down"", ""magnitude"": 1.9223}, {""feature"": ""txn_count"", ""label_en"": ""Digital transaction volume"", ""label_hi"": ""डिजिटल लेन-देन"", ""direction"": ""down"", ""magnitude"": 1.7081}, {""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""up"", ""magnitude"": 1.4764}]"
44,2026-06,98.0,green,0.0629,84.1,100.0,48.5,50.0,83.3,103662,"[{""feature"": ""exp_inc_ratio"", ""label_en"": ""Expense-to-income ratio"", ""label_hi"": ""खर्च/आय अनुपात"", ""direction"": ""up"", ""magnitude"": 1.4324}, {""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""up"", ""magnitude"": 1.0946}, {""feature"": ""net_cf_lag6"", ""label_en"": ""Half-year cash trend"", ""label_hi"": ""छमाही नक़दी रुझान"", ""direction"": ""up"", ""magnitude"": 1.0099}]"
45,2026-06,90.1,green,0.0572,81.2,100.0,38.4,50.0,74.8,123742,"[{""feature"": ""net_cf_lag12"", ""label_en"": ""Year-ago comparison"", ""label_hi"": ""पिछले साल से तुलना"", ""direction"": ""down"", ""magnitude"": 1.5871}, {""feature"": ""size_factor"", ""label_en"": ""Business size"", ""label_hi"": ""कारोबार का आकार"", ""direction"": ""down"", ""magnitude"": 1.5709}, {""feature"": ""net_cf_rstd6"", ""label_en"": ""Cash flow volatility"", ""label_hi"": ""नक़दी में उतार-चढ़ाव"", ""direction"": ""down"", ""magnitude"": 0.7801}]"
