enterprise_id,as_of,code,name,severity,audience,message_en,message_hi,action_en,action_hi
17,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
17,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
18,2026-06,EWS-04,RUNWAY_LOW,amber,both,Savings buffer is below 1 month of expenses.,बचत 1 महीने के खर्च से भी कम है।,Set aside a fixed amount from each sale until you have 1 month saved.,हर बिक्री से थोड़ी रक़म अलग रखें जब तक 1 महीने की बचत न हो।
18,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
18,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
18,2026-06,EWS-99,ANOMALY,amber,officer,Your recent pattern looks unusual compared to normal.,आपका हालिया रिकॉर्ड सामान्य से अलग दिख रहा है।,Review this month's entries with your field officer.,इस महीने की एंट्री अधिकारी के साथ जाँचें।
19,2026-06,EWS-04,RUNWAY_LOW,amber,both,Savings buffer is below 1 month of expenses.,बचत 1 महीने के खर्च से भी कम है।,Set aside a fixed amount from each sale until you have 1 month saved.,हर बिक्री से थोड़ी रक़म अलग रखें जब तक 1 महीने की बचत न हो।
19,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
19,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
19,2026-06,EWS-99,ANOMALY,amber,officer,Your recent pattern looks unusual compared to normal.,आपका हालिया रिकॉर्ड सामान्य से अलग दिख रहा है।,Review this month's entries with your field officer.,इस महीने की एंट्री अधिकारी के साथ जाँचें।
20,2026-06,EWS-04,RUNWAY_LOW,amber,both,Savings buffer is below 1 month of expenses.,बचत 1 महीने के खर्च से भी कम है।,Set aside a fixed amount from each sale until you have 1 month saved.,हर बिक्री से थोड़ी रक़म अलग रखें जब तक 1 महीने की बचत न हो।
20,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
20,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
20,2026-06,EWS-99,ANOMALY,amber,officer,Your recent pattern looks unusual compared to normal.,आपका हालिया रिकॉर्ड सामान्य से अलग दिख रहा है।,Review this month's entries with your field officer.,इस महीने की एंट्री अधिकारी के साथ जाँचें।
21,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
21,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
22,2026-06,EWS-04,RUNWAY_LOW,amber,both,Savings buffer is below 1 month of expenses.,बचत 1 महीने के खर्च से भी कम है।,Set aside a fixed amount from each sale until you have 1 month saved.,हर बिक्री से थोड़ी रक़म अलग रखें जब तक 1 महीने की बचत न हो।
22,2026-06,EWS-05,TXN_SLOWDOWN,amber,both,Your digital sales activity has slowed sharply.,आपकी डिजिटल बिक्री में तेज़ गिरावट है।,Check demand — talk to regular buyers; consider a small promotion.,मांग जाँचें — नियमित ख़रीदारों से बात करें; छोटा ऑफ़र आज़माएँ।
22,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
22,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
22,2026-06,EWS-99,ANOMALY,amber,officer,Your recent pattern looks unusual compared to normal.,आपका हालिया रिकॉर्ड सामान्य से अलग दिख रहा है।,Review this month's entries with your field officer.,इस महीने की एंट्री अधिकारी के साथ जाँचें।
23,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
23,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
23,2026-06,EWS-99,ANOMALY,amber,officer,Your recent pattern looks unusual compared to normal.,आपका हालिया रिकॉर्ड सामान्य से अलग दिख रहा है।,Review this month's entries with your field officer.,इस महीने की एंट्री अधिकारी के साथ जाँचें।
24,2026-06,EWS-02,REPAY_SLIP,red,both,Last EMI was missed.,पिछली किस्त (EMI) छूट गई है।,Talk to your field officer about part-payment before the next due date.,अगली तारीख़ से पहले अधिकारी से आंशिक भुगतान की बात करें।
24,2026-06,EWS-04,RUNWAY_LOW,amber,both,Savings buffer is below 1 month of expenses.,बचत 1 महीने के खर्च से भी कम है।,Set aside a fixed amount from each sale until you have 1 month saved.,हर बिक्री से थोड़ी रक़म अलग रखें जब तक 1 महीने की बचत न हो।
24,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
24,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
24,2026-06,EWS-99,ANOMALY,amber,officer,Your recent pattern looks unusual compared to normal.,आपका हालिया रिकॉर्ड सामान्य से अलग दिख रहा है।,Review this month's entries with your field officer.,इस महीने की एंट्री अधिकारी के साथ जाँचें।
25,2026-06,EWS-02,REPAY_SLIP,red,both,Last EMI was missed.,पिछली किस्त (EMI) छूट गई है।,Talk to your field officer about part-payment before the next due date.,अगली तारीख़ से पहले अधिकारी से आंशिक भुगतान की बात करें।
25,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
25,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
25,2026-06,EWS-99,ANOMALY,amber,officer,Your recent pattern looks unusual compared to normal.,आपका हालिया रिकॉर्ड सामान्य से अलग दिख रहा है।,Review this month's entries with your field officer.,इस महीने की एंट्री अधिकारी के साथ जाँचें।
26,2026-06,EWS-04,RUNWAY_LOW,amber,both,Savings buffer is below 1 month of expenses.,बचत 1 महीने के खर्च से भी कम है।,Set aside a fixed amount from each sale until you have 1 month saved.,हर बिक्री से थोड़ी रक़म अलग रखें जब तक 1 महीने की बचत न हो।
26,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
26,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
27,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
28,2026-06,EWS-05,TXN_SLOWDOWN,amber,both,Your digital sales activity has slowed sharply.,आपकी डिजिटल बिक्री में तेज़ गिरावट है।,Check demand — talk to regular buyers; consider a small promotion.,मांग जाँचें — नियमित ख़रीदारों से बात करें; छोटा ऑफ़र आज़माएँ।
28,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
29,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
30,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
31,2026-06,EWS-05,TXN_SLOWDOWN,amber,both,Your digital sales activity has slowed sharply.,आपकी डिजिटल बिक्री में तेज़ गिरावट है।,Check demand — talk to regular buyers; consider a small promotion.,मांग जाँचें — नियमित ख़रीदारों से बात करें; छोटा ऑफ़र आज़माएँ।
31,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
32,2026-06,EWS-05,TXN_SLOWDOWN,amber,both,Your digital sales activity has slowed sharply.,आपकी डिजिटल बिक्री में तेज़ गिरावट है।,Check demand — talk to regular buyers; consider a small promotion.,मांग जाँचें — नियमित ख़रीदारों से बात करें; छोटा ऑफ़र आज़माएँ।
32,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
33,2026-06,EWS-05,TXN_SLOWDOWN,amber,both,Your digital sales activity has slowed sharply.,आपकी डिजिटल बिक्री में तेज़ गिरावट है।,Check demand — talk to regular buyers; consider a small promotion.,मांग जाँचें — नियमित ख़रीदारों से बात करें; छोटा ऑफ़र आज़माएँ।
33,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
34,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
35,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
36,2026-06,EWS-05,TXN_SLOWDOWN,amber,both,Your digital sales activity has slowed sharply.,आपकी डिजिटल बिक्री में तेज़ गिरावट है।,Check demand — talk to regular buyers; consider a small promotion.,मांग जाँचें — नियमित ख़रीदारों से बात करें; छोटा ऑफ़र आज़माएँ।
36,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
37,2026-06,EWS-02,REPAY_SLIP,red,both,Last EMI was missed.,पिछली किस्त (EMI) छूट गई है।,Talk to your field officer about part-payment before the next due date.,अगली तारीख़ से पहले अधिकारी से आंशिक भुगतान की बात करें।
37,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
38,2026-06,EWS-05,TXN_SLOWDOWN,amber,both,Your digital sales activity has slowed sharply.,आपकी डिजिटल बिक्री में तेज़ गिरावट है।,Check demand — talk to regular buyers; consider a small promotion.,मांग जाँचें — नियमित ख़रीदारों से बात करें; छोटा ऑफ़र आज़माएँ।
38,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
39,2026-06,EWS-07,OUTPUT_PRICE_DROP,amber,both,Selling prices for your produce have dropped.,आपकी उपज के बिक्री दाम गिरे हैं।,"Hold stock if storable, or find an alternate buyer via your FPO.","रुक सकने वाला माल रोकें, या FPO से दूसरा ख़रीदार खोजें।"
41,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
41,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
42,2026-06,EWS-05,TXN_SLOWDOWN,amber,both,Your digital sales activity has slowed sharply.,आपकी डिजिटल बिक्री में तेज़ गिरावट है।,Check demand — talk to regular buyers; consider a small promotion.,मांग जाँचें — नियमित ख़रीदारों से बात करें; छोटा ऑफ़र आज़माएँ।
42,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
43,2026-06,EWS-05,TXN_SLOWDOWN,amber,both,Your digital sales activity has slowed sharply.,आपकी डिजिटल बिक्री में तेज़ गिरावट है।,Check demand — talk to regular buyers; consider a small promotion.,मांग जाँचें — नियमित ख़रीदारों से बात करें; छोटा ऑफ़र आज़माएँ।
43,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
43,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
44,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
45,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
45,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
46,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
47,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
48,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
49,2026-06,EWS-05,TXN_SLOWDOWN,amber,both,Your digital sales activity has slowed sharply.,आपकी डिजिटल बिक्री में तेज़ गिरावट है।,Check demand — talk to regular buyers; consider a small promotion.,मांग जाँचें — नियमित ख़रीदारों से बात करें; छोटा ऑफ़र आज़माएँ।
49,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
49,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
50,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
51,2026-06,EWS-08,CLIMATE_ALERT,amber,both,Weather risk: rainfall deficit or heatwave in your area.,मौसम जोख़िम: आपके इलाक़े में कम बारिश या लू।,Protect animals/stock from heat; plan water use; avoid new EMIs this month.,पशु/माल को गर्मी से बचाएँ; पानी की योजना बनाएँ; इस महीने नया क़र्ज़ न लें।
51,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
52,2026-06,EWS-10,CONCENTRATION,info,officer,Most income comes from very few buyers.,ज़्यादातर कमाई बहुत कम ख़रीदारों से आती है।,Add one more buyer or market channel to reduce risk.,जोख़िम घटाने के लिए एक और ख़रीदार या बाज़ार जोड़ें।
53,2026-06,EWS-04,RUNWAY_LOW,amber,both,Savings buffer is below 1 month of expenses.,बचत 1 महीने के खर्च से भी कम है।,Set aside a fixed amount from each sale until you have 1 month saved.,हर बिक्री से थोड़ी रक़म अलग रखें जब तक 1 महीने की बचत न हो।
